YEAR,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION,HWY (L/100 km),COMB (L/100 km),COMB (mpg),EMISSIONS
0.0,0,1,0,0.11475409836065573,0.2,2,3,0.1986301369863014,0.19354838709677424,0.1454545454545454,0.7037037037037037,0.21969696969696972
0.0,0,1,0,0.11475409836065573,0.2,27,3,0.15068493150684936,0.17204301075268813,0.09999999999999998,0.7777777777777777,0.17803030303030298
0.0,0,60,4,0.3770491803278688,0.4000000000000001,15,4,0.40410958904109595,0.26881720430107536,0.31818181818181823,0.4444444444444444,0.38636363636363635
0.0,0,61,4,0.42622950819672134,0.4000000000000001,2,4,0.48630136986301375,0.4623655913978495,0.4545454545454545,0.33333333333333326,0.5151515151515151
0.0,0,2065,17,0.1475409836065574,0.2,2,3,0.2534246575342466,0.22580645161290325,0.19090909090909092,0.6296296296296295,0.26515151515151514
0.0,0,2065,17,0.1475409836065574,0.2,27,3,0.20547945205479456,0.20430107526881724,0.15454545454545443,0.6666666666666665,0.23106060606060608
0.0,0,2067,17,0.1475409836065574,0.2,27,4,0.21232876712328774,0.22580645161290325,0.1636363636363637,0.6666666666666665,0.23863636363636365
0.0,0,2567,17,0.34426229508196726,0.4000000000000001,14,4,0.5,0.4623655913978495,0.4636363636363635,0.2962962962962963,0.5265151515151516
0.0,0,2567,17,0.3770491803278688,0.4000000000000001,28,4,0.5136986301369865,0.4516129032258065,0.47272727272727255,0.2962962962962963,0.5340909090909092
0.0,3,418,0,0.1475409836065574,0.2,3,4,0.34931506849315075,0.24731182795698925,0.2727272727272727,0.5185185185185186,0.34090909090909094
0.0,3,418,0,0.1475409836065574,0.2,27,4,0.23287671232876717,0.20430107526881724,0.17272727272727273,0.6666666666666665,0.24621212121212122
0.0,3,418,0,0.3114754098360656,0.4000000000000001,3,4,0.45890410958904115,0.3548387096774194,0.390909090909091,0.37037037037037035,0.4545454545454546
0.0,3,418,0,0.3114754098360656,0.4000000000000001,27,4,0.36986301369863017,0.27956989247311836,0.30000000000000004,0.4814814814814814,0.36742424242424243
0.0,3,425,0,0.1475409836065574,0.2,3,4,0.3972602739726028,0.30107526881720437,0.32727272727272727,0.4444444444444444,0.3939393939393939
0.0,3,425,0,0.1475409836065574,0.2,27,4,0.3013698630136986,0.27956989247311836,0.25454545454545463,0.5185185185185186,0.3257575757575758
0.0,3,425,0,0.3114754098360656,0.4000000000000001,3,4,0.4794520547945207,0.3870967741935484,0.4181818181818181,0.33333333333333326,0.4810606060606061
0.0,3,425,0,0.3114754098360656,0.4000000000000001,27,4,0.4383561643835616,0.4086021505376344,0.4,0.37037037037037035,0.46590909090909094
0.0,3,442,4,0.3114754098360656,0.4000000000000001,3,4,0.48630136986301375,0.3978494623655914,0.42727272727272714,0.33333333333333326,0.49242424242424243
0.0,3,444,15,0.3114754098360656,0.4000000000000001,3,4,0.5136986301369865,0.4516129032258065,0.47272727272727255,0.2962962962962963,0.5340909090909092
0.0,3,446,4,0.29508196721311475,0.4000000000000001,3,4,0.5,0.4408602150537635,0.4545454545454545,0.33333333333333326,0.5151515151515151
0.0,3,446,4,0.29508196721311475,0.4000000000000001,28,4,0.5,0.4516129032258065,0.4636363636363635,0.2962962962962963,0.5265151515151516
0.0,3,446,4,0.3114754098360656,0.4000000000000001,3,4,0.5136986301369865,0.4516129032258065,0.47272727272727255,0.2962962962962963,0.5340909090909092
0.0,3,446,4,0.3114754098360656,0.4000000000000001,27,4,0.45890410958904115,0.4623655913978495,0.4363636363636364,0.33333333333333326,0.5
0.0,3,446,4,0.5409836065573771,0.6000000000000001,3,4,0.5205479452054795,0.4516129032258065,0.47272727272727255,0.2962962962962963,0.5340909090909092
0.0,3,463,4,0.5409836065573771,0.6000000000000001,3,4,0.5205479452054795,0.4516129032258065,0.47272727272727255,0.2962962962962963,0.5340909090909092
0.0,3,3072,0,0.29508196721311475,0.4000000000000001,3,4,0.5,0.4408602150537635,0.4545454545454545,0.33333333333333326,0.5151515151515151
0.0,3,3072,0,0.29508196721311475,0.4000000000000001,28,4,0.5,0.4516129032258065,0.4636363636363635,0.2962962962962963,0.5265151515151516
0.0,3,3596,5,0.1475409836065574,0.2,27,4,0.363013698630137,0.29032258064516125,0.30000000000000004,0.4814814814814814,0.36742424242424243
0.0,3,3598,5,0.1475409836065574,0.2,28,4,0.363013698630137,0.30107526881720437,0.30000000000000004,0.4814814814814814,0.36742424242424243
0.0,3,3601,27,0.1475409836065574,0.2,27,4,0.31506849315068497,0.25806451612903225,0.25454545454545463,0.5185185185185186,0.3257575757575758
0.0,3,3604,27,0.1475409836065574,0.2,28,4,0.363013698630137,0.30107526881720437,0.30000000000000004,0.4814814814814814,0.36742424242424243
0.0,9,86,0,0.2622950819672131,0.4000000000000001,3,4,0.45890410958904115,0.4301075268817205,0.42727272727272714,0.33333333333333326,0.49242424242424243
0.0,9,86,0,0.2622950819672131,0.4000000000000001,27,4,0.4178082191780823,0.3978494623655914,0.3818181818181817,0.37037037037037035,0.446969696969697
0.0,9,87,0,0.2622950819672131,0.4000000000000001,3,4,0.41095890410958913,0.31182795698924737,0.34545454545454557,0.40740740740740744,0.41287878787878785
0.0,9,87,0,0.2622950819672131,0.4000000000000001,27,4,0.3561643835616439,0.27956989247311836,0.2909090909090908,0.4814814814814814,0.35984848484848486
0.0,9,88,0,0.2622950819672131,0.4000000000000001,3,4,0.41095890410958913,0.31182795698924737,0.34545454545454557,0.40740740740740744,0.41287878787878785
